Dependents,Applicant_Income,Coapplicant_Income,Loan_Amount,Loan_Amount_Term,Credit_History,Loan_Amount_Log,Gender_Female,Gender_Male,Married_No,Married_Yes,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban,Loan_Status
2.0,3276,484,135.0,360.0,1.0,4.90527477843843,False,True,False,True,True,False,True,False,False,True,False,1
0.0,3246,1417,138.0,360.0,1.0,4.927253685157205,False,True,False,True,True,False,True,False,False,True,False,1
0.0,3500,1667,114.0,360.0,1.0,4.736198448394496,False,True,False,True,True,False,True,False,False,True,False,1
0.0,5849,0,128.0,360.0,1.0,4.852030263919617,False,True,True,False,True,False,True,False,False,False,True,1
2.0,3987,1411,157.0,360.0,1.0,5.056245805348308,False,True,False,True,False,True,True,False,True,False,False,1
3.0,5516,11300,495.0,360.0,0.0,6.20455776256869,False,True,False,True,True,False,True,False,False,True,False,0
2.0,8333,3167,165.0,360.0,1.0,5.10594547390058,False,True,False,True,True,False,True,False,True,False,False,1
0.0,1500,1800,103.0,360.0,0.0,4.634728988229636,True,False,True,False,True,False,True,False,False,True,False,0
0.0,6283,4416,209.0,360.0,0.0,5.342334251964811,False,True,True,False,True,False,True,False,True,False,False,0
3.0,4931,0,128.0,360.0,1.0,4.852030263919617,False,True,False,True,False,True,True,False,False,True,False,0
0.0,2600,1911,116.0,360.0,0.0,4.7535901911063645,False,True,False,True,False,True,True,False,False,True,False,0
0.0,4301,0,118.0,360.0,1.0,4.770684624465665,False,True,False,True,True,False,True,False,False,False,True,1
0.0,3167,2283,154.0,360.0,1.0,5.0369526024136295,True,False,False,True,True,False,True,False,False,True,False,1
0.0,5695,4167,175.0,360.0,1.0,5.1647859739235145,False,True,False,True,True,False,True,False,False,True,False,1
1.0,1880,0,61.0,360.0,1.0,4.110873864173311,False,True,False,True,True,False,True,False,True,False,False,0
1.0,37719,0,152.0,360.0,1.0,5.0238805208462765,False,True,True,False,True,False,True,False,False,True,False,1
0.0,4887,0,133.0,360.0,1.0,4.890349128221754,False,True,False,True,False,True,True,False,True,False,False,0
0.0,3333,2500,128.0,360.0,1.0,4.852030263919617,False,True,False,True,True,False,True,False,False,True,False,1
2.0,4652,0,110.0,360.0,1.0,4.700480365792417,False,True,False,True,False,True,True,False,True,False,False,1
2.0,11757,0,187.0,180.0,1.0,5.231108616854587,False,True,False,True,True,False,True,False,False,False,True,1
0.0,3075,2416,139.0,360.0,1.0,4.934473933130692,False,True,False,True,True,False,True,False,True,False,False,1
0.0,5500,0,105.0,360.0,0.0,4.653960350157523,True,False,False,True,True,False,False,True,True,False,False,0
0.0,2454,2333,181.0,360.0,0.0,5.198497031265826,False,True,False,True,False,True,True,False,False,False,True,0
0.0,2894,2792,155.0,360.0,1.0,5.043425116919247,False,True,False,True,False,True,True,False,True,False,False,1
0.0,2060,2209,134.0,360.0,1.0,4.897839799950911,False,True,True,False,True,False,True,False,False,True,False,1
0.0,2600,1700,107.0,360.0,1.0,4.672828834461906,False,True,False,True,False,True,True,False,True,False,False,1
0.0,6783,0,130.0,360.0,1.0,4.867534450455582,False,True,True,False,False,True,True,False,False,True,False,1
0.0,2149,3237,178.0,360.0,0.0,5.181783550292085,True,False,False,True,False,True,True,False,False,True,False,0
0.0,2439,3333,129.0,360.0,1.0,4.859812404361672,False,True,False,True,True,False,True,False,True,False,False,1
1.0,11500,0,286.0,360.0,0.0,5.655991810819852,True,False,False,True,True,False,False,True,False,False,True,0
0.0,1809,1868,90.0,360.0,1.0,4.499809670330265,False,True,False,True,True,False,True,False,False,False,True,1
1.0,5649,0,44.0,360.0,1.0,3.784189633918261,False,True,False,True,True,False,True,False,False,False,True,1
0.0,4133,0,122.0,360.0,1.0,4.804021044733257,False,True,True,False,True,False,True,False,False,True,False,1
0.0,2833,1857,126.0,360.0,1.0,4.836281906951478,False,True,True,False,True,False,True,False,True,False,False,1
2.0,3800,3600,216.0,360.0,0.0,5.375278407684165,False,True,False,True,True,False,True,False,False,False,True,0
1.0,4053,2426,158.0,360.0,0.0,5.062595033026967,False,True,True,False,False,True,False,True,False,False,True,0
1.0,3125,2583,170.0,360.0,1.0,5.135798437050262,False,True,False,True,True,False,True,False,False,True,False,0
0.0,4583,0,133.0,360.0,0.0,4.890349128221754,True,False,True,False,True,False,False,True,False,True,False,0
1.0,3326,913,105.0,84.0,1.0,4.653960350157523,True,False,False,True,True,False,True,False,False,True,False,1
2.0,1958,1456,60.0,300.0,1.0,4.0943445622221,False,True,False,True,False,True,True,False,False,False,True,1
0.0,3406,4417,123.0,360.0,1.0,4.812184355372417,False,True,False,True,False,True,True,False,False,True,False,1
2.0,1993,1625,113.0,180.0,1.0,4.727387818712341,False,True,False,True,False,True,True,False,False,True,False,1
0.0,2917,0,84.0,360.0,1.0,4.430816798843313,True,False,True,False,True,False,True,False,False,True,False,1
1.0,8300,0,152.0,300.0,0.0,5.0238805208462765,False,True,False,True,True,False,True,False,False,True,False,0
2.0,16666,0,275.0,360.0,1.0,5.616771097666572,False,True,False,True,True,False,True,False,False,False,True,1
0.0,5166,0,128.0,360.0,1.0,4.852030263919617,False,True,True,False,True,False,False,True,False,True,False,1
1.0,18333,0,500.0,360.0,1.0,6.214608098422191,False,True,False,True,True,False,True,False,False,False,True,0
0.0,4300,0,136.0,360.0,0.0,4.912654885736052,True,False,True,False,True,False,True,False,False,True,False,0
0.0,2526,1783,145.0,360.0,1.0,4.976733742420574,False,True,True,False,True,False,True,False,True,False,False,1
2.0,1600,20000,239.0,360.0,1.0,5.476463551931511,False,True,False,True,True,False,False,True,False,False,True,0
0.0,2600,1717,99.0,300.0,1.0,4.59511985013459,True,False,True,False,True,False,False,True,False,True,False,0
2.0,3617,0,107.0,360.0,1.0,4.672828834461906,False,True,True,False,True,False,True,False,False,True,False,1
1.0,4608,2845,140.0,180.0,1.0,4.941642422609304,True,False,False,True,True,False,True,False,False,True,False,1
0.0,5000,2541,151.0,480.0,1.0,5.017279836814924,True,False,True,False,True,False,True,False,True,False,False,0
0.0,4860,830,125.0,360.0,1.0,4.8283137373023015,False,True,False,True,True,False,True,False,False,True,False,1
0.0,4300,2014,194.0,360.0,1.0,5.267858159063328,False,True,False,True,False,True,True,False,True,False,False,1
3.0,4707,1993,148.0,360.0,1.0,4.997212273764115,False,True,True,False,False,True,True,False,False,True,False,1
3.0,3095,0,113.0,360.0,1.0,4.727387818712341,False,True,False,True,False,True,True,False,True,False,False,1
0.0,39147,4750,120.0,360.0,1.0,4.787491742782046,False,True,False,True,True,False,False,True,False,True,False,1
1.0,6608,0,137.0,180.0,1.0,4.919980925828125,False,True,False,True,False,True,True,False,False,False,True,1
1.0,2014,2925,113.0,360.0,1.0,4.727387818712341,False,True,False,True,True,False,True,False,False,False,True,0
0.0,3775,0,110.0,360.0,1.0,4.700480365792417,False,True,False,True,True,False,True,False,False,True,False,1
0.0,11146,0,136.0,360.0,1.0,4.912654885736052,False,True,False,True,True,False,True,False,False,False,True,1
0.0,14583,0,436.0,360.0,1.0,6.077642243349034,False,True,False,True,True,False,True,False,False,True,False,1
0.0,3167,0,74.0,360.0,1.0,4.30406509320417,False,True,True,False,True,False,True,False,False,False,True,0
0.0,3000,3416,56.0,180.0,1.0,4.02535169073515,False,True,False,True,True,False,True,False,False,True,False,1
3.0,5677,1424,100.0,360.0,1.0,4.605170185988092,False,True,False,True,True,False,False,True,True,False,False,1
0.0,3182,2917,161.0,360.0,1.0,5.081404364984463,False,True,True,False,True,False,True,False,False,False,True,1
1.0,3450,2079,162.0,360.0,1.0,5.087596335232384,False,True,False,True,True,False,False,True,False,True,False,1
0.0,2400,3800,128.0,180.0,1.0,4.852030263919617,False,True,False,True,False,True,True,False,False,False,True,0
0.0,5050,0,118.0,360.0,1.0,4.770684624465665,False,True,True,False,True,False,True,False,False,True,False,1
1.0,3500,1083,135.0,360.0,1.0,4.90527477843843,False,True,False,True,False,True,True,False,False,False,True,1
0.0,5417,0,168.0,360.0,1.0,5.123963979403259,False,True,True,False,True,False,True,False,False,False,True,1
0.0,2625,6250,187.0,360.0,1.0,5.231108616854587,False,True,False,True,True,False,True,False,True,False,False,1
3.0,3036,2504,158.0,360.0,0.0,5.062595033026967,False,True,False,True,True,False,True,False,False,True,False,0
1.0,11250,0,196.0,360.0,1.0,5.278114659230517,False,True,True,False,True,False,True,False,False,True,False,0
0.0,2600,3500,115.0,360.0,1.0,4.74493212836325,False,True,False,True,True,False,True,False,False,False,True,1
3.0,3522,0,81.0,180.0,1.0,4.394449154672439,False,True,False,True,False,True,True,False,True,False,False,0
0.0,16692,0,110.0,360.0,1.0,4.700480365792417,False,True,False,True,True,False,True,False,False,True,False,1
0.0,2132,1591,96.0,360.0,1.0,4.564348191467836,False,True,False,True,True,False,True,False,False,True,False,1
1.0,3541,0,112.0,360.0,1.0,4.718498871295094,True,False,True,False,True,False,True,False,False,True,False,1
0.0,3523,3230,152.0,360.0,0.0,5.0238805208462765,False,True,False,True,False,True,True,False,True,False,False,0
1.0,3400,2500,173.0,360.0,1.0,5.153291594497779,False,True,False,True,True,False,True,False,False,True,False,1
0.0,2833,0,71.0,360.0,1.0,4.262679877041316,False,True,True,False,True,False,True,False,False,False,True,1
0.0,2400,2167,115.0,360.0,1.0,4.74493212836325,False,True,False,True,True,False,True,False,False,True,False,1
0.0,4000,2275,144.0,360.0,1.0,4.969813299576001,True,False,True,False,True,False,True,False,False,True,False,1
2.0,3900,0,90.0,360.0,1.0,4.499809670330265,False,True,False,True,True,False,True,False,False,True,False,1
0.0,9560,0,191.0,360.0,1.0,5.25227342804663,False,True,False,True,True,False,False,True,False,True,False,1
0.0,2333,2417,136.0,360.0,1.0,4.912654885736052,False,True,False,True,True,False,True,False,False,False,True,1
0.0,3676,4301,172.0,360.0,1.0,5.147494476813453,False,True,True,False,True,False,True,False,True,False,False,1
0.0,2221,0,60.0,360.0,0.0,4.0943445622221,False,True,False,True,True,False,True,False,False,False,True,0
0.0,2425,2340,143.0,360.0,1.0,4.962844630259907,False,True,False,True,True,False,True,False,False,True,False,1
0.0,2000,0,128.0,360.0,1.0,4.852030263919617,False,True,True,False,False,True,True,False,False,False,True,0
0.0,6050,4333,120.0,180.0,1.0,4.787491742782046,False,True,True,False,True,False,False,True,False,False,True,0
0.0,15759,0,55.0,360.0,1.0,4.007333185232471,True,False,True,False,True,False,False,True,False,True,False,1
0.0,3254,0,50.0,360.0,1.0,3.912023005428146,False,True,True,False,True,False,True,False,False,False,True,1
3.0,23803,0,370.0,360.0,1.0,5.91350300563827,False,True,False,True,True,False,True,False,True,False,False,1
0.0,2423,505,130.0,360.0,1.0,4.867534450455582,True,False,False,True,True,False,True,False,False,True,False,1
1.0,7451,0,128.0,360.0,1.0,4.852030263919617,True,False,True,False,True,False,False,True,False,True,False,1
0.0,5708,5625,187.0,360.0,1.0,5.231108616854587,False,True,False,True,True,False,True,False,False,True,False,1
0.0,3366,2200,135.0,360.0,1.0,4.90527477843843,False,True,False,True,True,False,True,False,True,False,False,0
0.0,2935,0,98.0,360.0,1.0,4.584967478670572,False,True,True,False,True,False,True,False,False,True,False,1
0.0,2971,2791,144.0,360.0,1.0,4.969813299576001,False,True,True,False,True,False,True,False,False,True,False,1
0.0,3510,0,76.0,360.0,0.0,4.330733340286331,True,False,True,False,True,False,True,False,False,False,True,0
1.0,4723,0,81.0,360.0,1.0,4.394449154672439,True,False,True,False,True,False,True,False,False,True,False,0
3.0,3083,0,255.0,360.0,1.0,5.541263545158426,True,False,True,False,True,False,True,False,True,False,False,1
0.0,1820,1719,100.0,360.0,1.0,4.605170185988092,False,True,False,True,True,False,True,False,False,False,True,1
0.0,2165,0,70.0,360.0,1.0,4.248495242049359,True,False,True,False,False,True,True,False,False,True,False,1
0.0,4885,0,48.0,360.0,1.0,3.871201010907891,False,True,True,False,False,True,True,False,True,False,False,1
0.0,4333,2451,110.0,360.0,1.0,4.700480365792417,True,False,False,True,True,False,True,False,False,False,True,0
3.0,6417,0,157.0,180.0,1.0,5.056245805348308,False,True,False,True,True,False,True,False,True,False,False,1
0.0,5941,4232,296.0,360.0,1.0,5.69035945432406,False,True,True,False,True,False,True,False,False,True,False,1
0.0,3620,0,25.0,120.0,1.0,3.218875824868201,False,True,True,False,False,True,True,False,False,True,False,1
1.0,6400,7250,180.0,360.0,0.0,5.19295685089021,False,True,False,True,True,False,True,False,False,False,True,0
0.0,2378,0,46.0,360.0,1.0,3.828641396489095,True,False,True,False,True,False,True,False,True,False,False,0
3.0,1830,0,128.0,360.0,0.0,4.852030263919617,True,False,True,False,False,True,True,False,False,False,True,0
3.0,4342,189,124.0,360.0,1.0,4.820281565605037,False,True,False,True,True,False,True,False,False,True,False,1
2.0,5417,4196,267.0,360.0,1.0,5.58724865840025,False,True,False,True,True,False,False,True,False,False,True,1
0.0,3410,0,88.0,360.0,1.0,4.477336814478207,True,False,True,False,True,False,True,False,False,False,True,1
0.0,5000,0,132.0,360.0,1.0,4.882801922586371,True,False,True,False,True,False,True,False,True,False,False,1
1.0,2492,2375,128.0,360.0,1.0,4.852030263919617,False,True,False,True,False,True,True,False,True,False,False,1
0.0,2500,0,55.0,360.0,1.0,4.007333185232471,False,True,True,False,True,False,True,False,False,True,False,1
1.0,3596,0,100.0,240.0,1.0,4.605170185988092,False,True,True,False,False,True,True,False,False,False,True,1
0.0,2645,3440,120.0,360.0,0.0,4.787491742782046,True,False,False,True,True,False,True,False,False,False,True,0
0.0,3859,3300,142.0,180.0,1.0,4.955827057601261,False,True,False,True,True,False,True,False,True,False,False,1
1.0,4050,5302,138.0,360.0,1.0,4.927253685157205,False,True,False,True,False,True,True,False,True,False,False,0
0.0,2583,2358,120.0,360.0,1.0,4.787491742782046,False,True,False,True,False,True,True,False,False,False,True,1
1.0,5250,688,160.0,360.0,1.0,5.075173815233827,False,True,False,True,True,False,True,False,True,False,False,1
0.0,2483,2466,90.0,180.0,0.0,4.499809670330265,False,True,False,True,True,False,True,False,True,False,False,1
0.0,2764,1459,110.0,360.0,1.0,4.700480365792417,True,False,True,False,True,False,True,False,False,False,True,1
0.0,2130,6666,70.0,180.0,1.0,4.248495242049359,False,True,False,True,True,False,True,False,False,True,False,0
0.0,2927,2405,111.0,360.0,1.0,4.709530201312334,False,True,True,False,False,True,True,False,False,True,False,1
0.0,3250,0,170.0,360.0,1.0,5.135798437050262,False,True,False,True,True,False,True,False,True,False,False,0
0.0,2799,2253,122.0,360.0,1.0,4.804021044733257,False,True,False,True,True,False,True,False,False,True,False,1
0.0,10416,0,187.0,360.0,0.0,5.231108616854587,False,True,True,False,True,False,False,True,False,False,True,0
0.0,7200,0,120.0,360.0,1.0,4.787491742782046,True,False,True,False,True,False,True,False,True,False,False,1
0.0,1928,1644,100.0,360.0,1.0,4.605170185988092,True,False,False,True,False,True,True,False,False,True,False,1
0.0,6400,0,200.0,360.0,1.0,5.298317366548036,False,True,True,False,True,False,False,True,True,False,False,1
0.0,3667,1459,144.0,360.0,1.0,4.969813299576001,True,False,False,True,True,False,True,False,False,True,False,1
1.0,9538,0,187.0,360.0,1.0,5.231108616854587,False,True,False,True,True,False,True,False,False,False,True,1
0.0,3463,0,122.0,360.0,1.0,4.804021044733257,True,False,True,False,True,False,False,True,False,False,True,1
0.0,4750,0,94.0,360.0,1.0,4.543294782270004,False,True,True,False,True,False,True,False,False,True,False,1
0.0,3497,1964,116.0,360.0,1.0,4.7535901911063645,False,True,False,True,True,False,True,False,True,False,False,1
3.0,3466,3428,150.0,360.0,1.0,5.010635294096256,False,True,False,True,True,False,True,False,True,False,False,1
0.0,20833,6667,480.0,360.0,1.0,6.173786103901937,False,True,False,True,True,False,True,False,False,False,True,1
0.0,4191,0,120.0,360.0,1.0,4.787491742782046,False,True,True,False,True,False,True,False,True,False,False,1
0.0,3074,1800,123.0,360.0,0.0,4.812184355372417,False,True,False,True,False,True,True,False,False,True,False,0
0.0,5503,4490,70.0,360.0,1.0,4.248495242049359,False,True,False,True,True,False,False,True,False,True,False,1
3.0,9357,0,292.0,360.0,1.0,5.676753802268282,False,True,True,False,True,False,False,True,False,True,False,1
2.0,7948,7166,480.0,360.0,1.0,6.173786103901937,False,True,False,True,True,False,False,True,True,False,False,1
1.0,10750,0,312.0,360.0,1.0,5.7430031878094825,False,True,False,True,True,False,True,False,False,False,True,1
0.0,2500,0,67.0,360.0,1.0,4.204692619390966,True,False,True,False,True,False,True,False,False,False,True,1
0.0,2237,0,63.0,480.0,0.0,4.143134726391533,False,True,True,False,True,False,True,False,False,True,False,0
1.0,9833,1833,182.0,180.0,1.0,5.204006687076795,False,True,False,True,True,False,False,True,False,False,True,1
1.0,3089,1280,121.0,360.0,0.0,4.795790545596741,False,True,False,True,True,False,True,False,False,True,False,0
2.0,7667,0,185.0,360.0,1.0,5.220355825078324,False,True,False,True,False,True,True,False,True,False,False,1
0.0,3858,0,76.0,360.0,1.0,4.330733340286331,False,True,True,False,True,False,True,False,False,True,False,1
0.0,9166,0,244.0,360.0,1.0,5.497168225293202,False,True,True,False,True,False,True,False,False,False,True,0
1.0,3875,0,67.0,360.0,1.0,4.204692619390966,False,True,False,True,True,False,True,False,False,False,True,0
0.0,7333,8333,175.0,300.0,1.0,5.1647859739235145,False,True,False,True,True,False,True,False,True,False,False,1
0.0,3159,0,100.0,360.0,1.0,4.605170185988092,True,False,True,False,True,False,True,False,False,True,False,1
3.0,4281,0,100.0,360.0,1.0,4.605170185988092,False,True,False,True,True,False,True,False,False,False,True,1
0.0,4652,3583,128.0,360.0,1.0,4.852030263919617,False,True,False,True,True,False,True,False,False,True,False,1
0.0,7441,0,194.0,360.0,1.0,5.267858159063328,True,False,True,False,True,False,False,True,True,False,False,0
3.0,5266,1774,187.0,360.0,1.0,5.231108616854587,False,True,False,True,True,False,False,True,False,True,False,1
0.0,1926,1851,50.0,360.0,1.0,3.912023005428146,False,True,True,False,True,False,True,False,False,True,False,1
2.0,6000,0,205.0,240.0,1.0,5.3230099791384085,False,True,False,True,True,False,False,True,False,True,False,0
0.0,10408,0,259.0,360.0,1.0,5.556828061699537,True,False,True,False,True,False,True,False,False,False,True,1
2.0,2889,0,45.0,180.0,0.0,3.80666248977032,False,True,False,True,False,True,True,False,False,False,True,0
1.0,7250,1667,110.0,360.0,0.0,4.700480365792417,False,True,False,True,True,False,True,False,False,False,True,0
0.0,4625,2857,111.0,12.0,1.0,4.709530201312334,False,True,False,True,True,False,True,False,False,False,True,1
0.0,3975,2531,55.0,360.0,1.0,4.007333185232471,False,True,True,False,False,True,True,False,True,False,False,1
2.0,2583,2330,125.0,360.0,1.0,4.8283137373023015,False,True,False,True,True,False,True,False,True,False,False,1
0.0,6822,0,141.0,360.0,1.0,4.948759890378168,False,True,True,False,True,False,False,True,True,False,False,1
3.0,2666,2083,95.0,360.0,1.0,4.553876891600541,False,True,False,True,True,False,True,False,True,False,False,1
0.0,4680,2087,128.0,360.0,1.0,4.852030263919617,False,True,True,False,True,False,True,False,False,True,False,0
2.0,4006,1526,168.0,360.0,1.0,5.123963979403259,False,True,False,True,True,False,True,False,False,False,True,1
3.0,9167,0,185.0,360.0,1.0,5.220355825078324,False,True,True,False,True,False,True,False,True,False,False,1
0.0,1828,1330,100.0,360.0,0.0,4.605170185988092,False,True,False,True,True,False,True,False,False,False,True,0
2.0,4200,1430,129.0,360.0,1.0,4.859812404361672,False,True,False,True,False,True,True,False,True,False,False,0
1.0,2661,7101,279.0,180.0,1.0,5.631211781821365,False,True,False,True,False,True,True,False,False,True,False,1
1.0,1625,1803,96.0,360.0,1.0,4.564348191467836,False,True,False,True,True,False,True,False,False,False,True,1
0.0,1963,0,53.0,360.0,1.0,3.970291913552122,True,False,True,False,False,True,True,False,False,True,False,1
2.0,3357,2859,144.0,360.0,1.0,4.969813299576001,False,True,False,True,False,True,True,False,False,False,True,1
0.0,2929,2333,139.0,360.0,1.0,4.934473933130692,True,False,False,True,True,False,True,False,False,True,False,1
0.0,6216,0,133.0,360.0,1.0,4.890349128221754,False,True,True,False,False,True,True,False,True,False,False,0
0.0,4817,923,120.0,180.0,1.0,4.787491742782046,False,True,False,True,True,False,True,False,False,False,True,1
0.0,5800,0,132.0,360.0,1.0,4.882801922586371,False,True,True,False,False,True,False,True,False,True,False,1
1.0,3481,0,155.0,36.0,1.0,5.043425116919247,True,False,True,False,True,False,True,False,False,True,False,0
0.0,2297,1522,104.0,360.0,1.0,4.6443908991413725,False,True,False,True,True,False,True,False,False,False,True,1
1.0,4666,0,135.0,360.0,1.0,4.90527477843843,True,False,False,True,True,False,True,False,False,False,True,1
0.0,6277,0,118.0,360.0,0.0,4.770684624465665,False,True,True,False,True,False,True,False,True,False,False,0
2.0,4708,1387,150.0,360.0,1.0,5.010635294096256,False,True,False,True,True,False,True,False,False,True,False,1
0.0,1025,5500,216.0,360.0,1.0,5.375278407684165,False,True,False,True,True,False,True,False,True,False,False,1
1.0,3652,0,95.0,360.0,1.0,4.553876891600541,True,False,True,False,True,False,True,False,False,True,False,1
0.0,4166,7210,184.0,360.0,1.0,5.214935757608986,False,True,True,False,True,False,True,False,False,False,True,1
0.0,3539,1376,55.0,360.0,1.0,4.007333185232471,False,True,False,True,True,False,True,False,True,False,False,0
0.0,2400,1863,104.0,360.0,0.0,4.6443908991413725,True,False,True,False,True,False,True,False,False,False,True,0
0.0,3416,2816,113.0,360.0,1.0,4.727387818712341,True,False,False,True,True,False,True,False,False,True,False,1
0.0,4350,0,154.0,360.0,1.0,5.0369526024136295,True,False,True,False,False,True,True,False,True,False,False,1
0.0,5124,0,124.0,360.0,0.0,4.820281565605037,False,True,True,False,True,False,True,False,True,False,False,0
2.0,14866,0,70.0,360.0,1.0,4.248495242049359,True,False,False,True,True,False,True,False,False,False,True,1
2.0,3547,0,80.0,360.0,0.0,4.382026634673881,False,True,True,False,True,False,True,False,True,False,False,0
0.0,3017,663,102.0,360.0,1.0,4.624972813284271,True,False,False,True,False,True,True,False,False,True,False,1
1.0,1538,1425,30.0,360.0,1.0,3.4011973816621555,False,True,False,True,True,False,True,False,False,False,True,1
0.0,3750,0,100.0,360.0,1.0,4.605170185988092,False,True,True,False,True,False,True,False,False,False,True,1
0.0,6333,4583,259.0,360.0,1.0,5.556828061699537,False,True,False,True,True,False,True,False,False,True,False,1
1.0,8666,4983,376.0,360.0,0.0,5.929589143389895,False,True,False,True,True,False,False,True,True,False,False,0
0.0,4547,0,115.0,360.0,1.0,4.74493212836325,True,False,True,False,True,False,True,False,False,True,False,1
2.0,2957,0,81.0,360.0,1.0,4.394449154672439,False,True,False,True,True,False,True,False,False,True,False,1
2.0,2031,1632,113.0,480.0,1.0,4.727387818712341,True,False,False,True,True,False,True,False,False,True,False,1
0.0,2484,2302,137.0,360.0,1.0,4.919980925828125,True,False,False,True,True,False,True,False,False,True,False,1
0.0,2698,2034,122.0,360.0,1.0,4.804021044733257,False,True,False,True,True,False,True,False,False,True,False,1
1.0,3315,0,96.0,360.0,1.0,4.564348191467836,False,True,False,True,True,False,True,False,False,True,False,1
0.0,3593,4266,132.0,180.0,0.0,4.882801922586371,False,True,False,True,True,False,True,False,True,False,False,0
